organisation_name,town_city,county,type_rating,route,company_website
BCS Data Centres Limited,London,,Worker (A rating),Skilled Worker,
Beacon Technologies Ltd,London,,Worker (A rating),Skilled Worker,https://beacon.com
Bead Technologies Limited,London,,Worker (A rating),Skilled Worker,
BEP Surface Technologies,Bury,,Worker (A rating),Skilled Worker,https://bep-st.com
BEEP DIGITAL LTD,Poole,DORSET,Worker (A rating),Skilled Worker,https://beep.digital
BEESPACE TECHNOLOGIES LTD,BELFAST,NORTHERN IRELAND,Worker (A rating),Skilled Worker,https://bee.space
BENEVOLENCE TECHNOLOGIES PRIVATE LIMITED,London,,Worker (A rating),Skilled Worker,https://benevolencetechnologies.ltd
Beyond Data Technologies Ltd,Sheffield,,Worker (A rating),Skilled Worker,https://beyonddatatechnologies.co.uk
BENOIT TECHNOLOGIES UK LTD,Bolton,,Worker (A rating),Skilled Worker,https://www.benoittechnologies.com
Beyond Now Technology Limited,London,,Worker (A rating),Skilled Worker,https://www.beyondnow.com
Berkshire Technologies Limited,Bracknell,Berkshire,Worker (A rating),Skilled Worker,
BERKUK TECHNOLOGY LTD,Sheffield,,Worker (A rating),Skilled Worker,
Betfred Technology Limited,Manchester,,Worker (A rating),Skilled Worker,https://www.betfredgroup.com
Beta Technology Limited,Sheffield,South Yorkshire,Worker (A rating),Skilled Worker,
BG Infotech Ltd,London,,Worker (A rating),Skilled Worker,
Big Data Lake Limited,Slough,,Worker (A rating),Skilled Worker,https://www.bigdatalake.co.uk
BIG DATA SCIENCE & TECHNOLOGY LIMITED,Feltham,England,Worker (A rating),Skilled Worker,
Big Little Technology Limited (trading as beloFX),Altrincham,Cheshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://www.bing.com
Big Little Technology Limited (trading as beloFX),Altrincham,Cheshire,Worker (A rating),Skilled Worker,
Big Orange Software trading as Sonin,Reigate,Surrey,Worker (A rating),Skilled Worker,
BIG PICTURE (SOFTWARE) LIMITED,Snaith,East Yorkshire,Worker (A rating),Skilled Worker,
Bigminds Technology Solutions Limited,Bromley,,Worker (A rating),Skilled Worker,https://bigmindstech.com
BigByte Digital Ltd,Manchester,,Worker (A rating),Skilled Worker,
Bigo Technology (UK) Limited,London,,Worker (A rating),Skilled Worker,https://www.bigo.sg
Bilfinger Piping Technologies UK Ltd,Bristol,,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee,https://www.bilfinger.com
Bigo Technology (UK) Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
BILBERRY TECHNOLOGIES LTD T/A ADCLEAR,London,,Worker (A rating),Skilled Worker,https://visasponsorshipuk.com
Bilfinger Piping Technologies UK Ltd,Bristol,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://www.bilfinger.com
Bilfinger Piping Technologies UK Ltd,Bristol,,Worker (A rating),Skilled Worker,https://www.bilfinger.com
BIM Technologies (Europe) Limited,Newcastle upon Tyne,UK,Worker (A rating),Skilled Worker,
Birla Technologies Limited,Harrow,,Worker (A rating),Skilled Worker,http://www.birla.co.uk
BIOMARKER TECHNOLOGIES (BMKGENE) UK LTD,Cheshire,,Worker (A rating),Skilled Worker,https://www.bmkgene.com
BiologIC Technologies,Soham,,Worker (A rating),Skilled Worker,
Black Cow Technology Limited,Oxford,,Worker (A rating),Skilled Worker,https://blackcowtech.uk
BirdsEyeView Technologies Limited,London,,Worker (A rating),Skilled Worker,
Bladon Technologies Ltd,Warwick,Warwickshire,Worker (A rating),Skilled Worker,https://www.bladonmt.com
Birl Technology Ltd,Liverpool,Merseyside,Worker (A rating),Skilled Worker,https://www.birl.tech
Blockwise Network Limited,Manchester,,Worker (A rating),Skilled Worker,https://blockwisenetwork.co.uk
Black Box Network Services (UK) Limited,Reading,,Worker (A rating),Skilled Worker,
Black Swan Data Limited,London,,Worker (A rating),Skilled Worker,https://blackswan.com
Blackhawk Network EMEA Limited,Hemel Hempstead,,Worker (A rating),Skilled Worker,
Bliss software solutions Ltd,Aylesbury,Buckinghamshire,Worker (A rating),Skilled Worker,
BluDot Digital Limited,Hull,,Worker (A rating),Skilled Worker,https://www.bludottechnologies.com
Bloc Digital Ltd,Derby,,Worker (A rating),Skilled Worker,
Blue Chip Technologies Ltd,Wantage,"Oxfordshire, England",Worker (A rating),Skilled Worker,https://bluechiptechnology.com
Blue Cloud Global UK Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://www.blue.cloud
Blue Cloud Global UK Limited,London,,Worker (A rating),Skilled Worker,https://www.blue.cloud
Bloompark Software Services Ltd,Slough,Berkshire,Worker (A rating),Skilled Worker,
BLOOP AI LIMITED,LONDON,England,Worker (A rating),Skilled Worker,
Blu Wireless Technology Limited,Bristol,Avon,Worker (A rating),Skilled Worker,https://www.bluwireless.com
BLOW MOULDING TECHNOLOGIES,Belfast,United Kingdom,Worker (A rating),Skilled Worker,
BLUE FIRE AI LIMITED,London,,Worker (A rating),Skilled Worker,https://bluefireai.com
Blue Car Technologies Limited,Reading,Berkshire,Worker (A rating),Skilled Worker,
Blue Ocean Data Solution Ltd,London,,Worker (A rating),Skilled Worker,https://blueoceands.com
Blue Precision Technologies Ltd,Maidstone,Kent,Worker (A rating),Skilled Worker,
Blue Strawberry AI Ltd,Sandwich,Kent,Worker (A rating),Skilled Worker,https://bluestrawberry.app
Blue State Digital UK Limited,London,,Worker (A rating),Skilled Worker,
Blue Thorn Technology Ltd,Birmingham,West Midlands,Worker (A rating),Skilled Worker,https://bluethorn.co.uk
Bluecube Cyber Security Solutions Limited,Milton Keynes,Buckingham,Worker (A rating),Skilled Worker,https://bluecubesecurity.com
Blue Yonder Technology Solutions (UK) Limited,Bracknell,Berkshire,Worker (A rating),Skilled Worker,https://blueyonder.com
Blue Yonder Technology Solutions (UK) Limited,Bracknell,Berkshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://blueyonder.com
Blue Yonder Technology Solutions UK Limited,Bracknell,Berskshire,Worker (A rating),Skilled Worker,
Blue Yonder Technology Solutions UK Limited,Bracknell,Berskshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://blueyonder.com
Blueprint Technologies Limited,Newark On Trent,,Worker (A rating),Skilled Worker,https://blueprintgaming.com
BLUEGRID TECHNOLOGY LTD,Peterborough,,Worker (A rating),Skilled Worker,
Bluerose Technologies Limited,London,,Worker (A rating),Skilled Worker,https://www.bluerose-tech.com
Bluekong Networks Limited,Reading,,Worker (A rating),Skilled Worker,https://bluekongnetworks.com
Bluesea Technology ltd,Ilford,,Worker (A rating),Skilled Worker,https://www.bluesea.com
BlueSkeye AI LTD,Nottingham,,Worker (A rating),Skilled Worker,https://www.blueskeye.com
Bluelotus Technologies Limited,Coventry,,Worker (A rating),Skilled Worker,https://bluelotustec.com
BLUESTAR SOFTWARE LIMITED,Reading,Berkshire,Worker (A rating),Skilled Worker,https://bluestar-software.co.uk
Bluemax Technology Support Ltd.,Cambridge,Cambridgeshire,Worker (A rating),Skilled Worker,
BM Data Solutions Limited T/A BM Aluminium,Tewkesbury,,Worker (A rating),Skilled Worker,https://www.bing.com
BMC Software Ltd,Winnersh Triangle,Berkshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
BNW Technology Ltd,Reading,,Worker (A rating),Skilled Worker,https://bnw-tech.com
BMC Software Ltd,Winnersh Triangle,Berkshire,Worker (A rating),Skilled Worker,
BOB W TECHNOLOGIES UK LIMITED,London,,Worker (A rating),Skilled Worker,https://bobw.co
BMLL Technologies Ltd,London,,Worker (A rating),Skilled Worker,
Boldyn Networks Group Limited,London,,Worker (A rating),Skilled Worker,https://www.boldyn.com
Boditrax Technologies Ltd,Nottingham,Nottinghamshire,Worker (A rating),Skilled Worker,https://boditrax.zendesk.com
Boldyn Networks Group Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://www.boldyn.com
BookNow Software Ltd,Camberley,Surrey,Worker (A rating),Skilled Worker,https://booknowsoftware.com
Boost AI LTD,Woking,Surrey,Worker (A rating),Skilled Worker,https://boost.ai
Boomerang Digital Ltd,Hessle,East Yorkshire,Worker (A rating),Skilled Worker,https://boomerangdigital.co.uk
Boost It Technologies LTD,Bristol,Bradley Stoke,Worker (A rating),Skilled Worker,https://boostittechnologies.co.uk
Bosch Global Software Technologies Private Limited,Denham,Middlesex,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://www.bing.com
Bo Digital Ltd,Cambridge,Cambridgeshire,Worker (A rating),Skilled Worker,
Bosch Global Software Technologies Private Limited,Denham,Middlesex,Worker (A rating),Skilled Worker,https://www.bing.com
Boku Network Services UK Ltd,London,,Worker (A rating),Skilled Worker,
Bond Financial Technologies Ltd,London,,Worker (A rating),Skilled Worker,
BOREAS SOFTWARE AND CONSULTING LTD,London,,Worker (A rating),Skilled Worker,
Borer Data Systems Ltd,Winnersh,,Worker (A rating),Skilled Worker,
Box Technologies Limited,Thame,Oxon,Worker (A rating),Skilled Worker,https://boxtechnologies.com
Box Technologies Limited,Thame,Oxon,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://boxtechnologies.com
BORIS SOFTWARE LIMITED,LEEDS,,Worker (A rating),Skilled Worker,
BOSE TECHNOLOGIES LIMITED,Reading,,Worker (A rating),Skilled Worker,https://www.bose.co.uk
Boyd Technologies Ashington UK Limited,Ashington,Northumberland,Worker (A rating),Skilled Worker,https://www.boydcorp.com
BRAIN BRIDGE TECHNOLOGY LIMITED,Brentwood,,Worker (A rating),Skilled Worker,https://bbtechnology.co.uk
Bottomline Technologies Limited,Theale,Berkshire,Worker (A rating),Skilled Worker,
Bottomline Technologies Limited,Theale,Berkshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Brandpie Digital Limited,London,,Worker (A rating),Skilled Worker,https://brandpie.com
BPAV Technology Group Ltd,Basingstoke,Hampshire,Worker (A rating),Skilled Worker,https://bpav.global
Brady Technologies Limited,London,,Worker (A rating),Skilled Worker,
Brave Software Europe Ltd,London,,Worker (A rating),Skilled Worker,https://brave.com
Brady Technologies Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Breathe Battery Technologies Limited,London,,Worker (A rating),Scale-up,https://breathebatteries.com
Brain Labs Digital Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Brain Labs Digital Ltd,London,,Worker (A rating),Skilled Worker,
Branthill Computing Ltd,Covent,,Worker (A rating),Skilled Worker,
Brave Software Europe Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Breathe Battery Technologies Limited,London,,Worker (A rating),Skilled Worker,
BridgeHead Software Limited,Leatherhead,Surrey,Worker (A rating),Skilled Worker,https://www.bridgeheadsoftware.com
BREEZ TECHNOLOGY LIMITED,LONDON,,Worker (A rating),Skilled Worker,https://breez.technology
Brightedge Technologies Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://www.brightedge.com
Brick Digital,Watford,Hertfordshire,Worker (A rating),Skilled Worker,https://brick-digital.co.uk
BRG INFOTECH LIMITED,London,,Worker (A rating),Skilled Worker,
Bricklane Technologies Ltd,London,,Worker (A rating),Skilled Worker,
BRICLOGIX TECHNOLOGIES LTD,Uxbridge,,Worker (A rating),Skilled Worker,
Brillio Technologies Private Limited,London,,Worker (A rating),Skilled Worker,https://www.brillio.com
Brink Technology Ltd,London,,Worker (A rating),Skilled Worker,https://www.brinktech.io
Brightedge Technologies Limited,London,,Worker (A rating),Skilled Worker,
Brightly Software Limited,"Chatham Maritime, Chatham,",Kent,Worker (A rating),Skilled Worker,
Briss Technologies LIMITED,West Molesey,Surrey,Worker (A rating),Skilled Worker,https://brisstech.co.uk
BrightSign Technology Limited,London,,Worker (A rating),Skilled Worker,
Brillio Technologies Private Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://www.brillio.com
BrightSign Digital Ltd,Great Shelford,,Worker (A rating),Skilled Worker,
Bristol Fluid System Technologies Ltd. T/A Swagelok Central UK,Bristol,,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee,
Britannia Cloud Ltd,London,England,Worker (A rating),Skilled Worker,
Britasia TV Networks Ltd,Birmingham,West Midlands,Worker (A rating),Skilled Worker,
Broad Visions Technologies Ltd,Reading,,Worker (A rating),Skilled Worker,
Broadvision Technologies (UK) Ltd,London,,Worker (A rating),Skilled Worker,
Bromley Computer And Laptop Repairs,Bromley,,Worker (A rating),Skilled Worker,
BSO Network Solutions Ltd,London,,Worker (A rating),Skilled Worker,https://erp.bsonetwork.net
BSOFT TECHNOLOGIES LTD,Wakefield,,Worker (A rating),Skilled Worker,https://www.bsoft-tech.co.uk
Brompton Technology Ltd,London,,Worker (A rating),Skilled Worker,
Brothers Bridge Technology Ltd,London,,Worker (A rating),Skilled Worker,https://www.brother.co.uk
Brown Earth Technologies UK Limited,Sutton,,Worker (A rating),Skilled Worker,
Buildt AI Limited t/a Cosine,London,,Worker (A rating),Skilled Worker,https://cosine.sh
BRS Technology Limited,GLASGOW,Lanarkshire,Worker (A rating),Skilled Worker,
BS&T Digital Limited,London,,Worker (A rating),Skilled Worker,https://www.companieslist.co.uk
BX Technologies Ltd,London,,Worker (A rating),Skilled Worker,https://bxtechnologies.net
BTL NETWORK LTD T/a Paytap,London,,Worker (A rating),Skilled Worker,
Bubo AI Ltd,Middlesborough,,Worker (A rating),Skilled Worker,
BuildPartner Technology Ltd,London,,Worker (A rating),Skilled Worker,https://buildpartner.com
Byte Code Software Solutions Limited,Rainham,,Worker (A rating),Skilled Worker,https://bytecodelimited.com
Bulletproof Cyber Ltd,Stevenage,,Worker (A rating),Skilled Worker,https://www.bulletproof.co.uk
BUSINESS DATA QUALITY LTD,LONDON,,Worker (A rating),Skilled Worker,
Bytes Software Services Limited,Leatherhead,Surrey,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://www.bytes.co.uk
BYP Network Limited,London,,Worker (A rating),Skilled Worker,https://www.byp.network
byrd Technologies UK Ltd,London,,Worker (A rating),Skilled Worker,https://www.getbyrd.com
Bytes Software Services Limited,Leatherhead,Surrey,Worker (A rating),Skilled Worker,
C SQUARED NETWORKS LTD,London,,Worker (A rating),Skilled Worker,
BZ Technology Limited,London,Greater London,Worker (A rating),Skilled Worker,
Cabvision Network Limited,London,,Worker (A rating),Skilled Worker,https://cabvision.com
C15 Media Networks Ltd,London,,Worker (A rating),Skilled Worker,https://www.c15.studio
C.D.S. Computer Design Systems Ltd,Salford,Greater Manchester,Worker (A rating),Skilled Worker,
CAE Technology Services Limited,Hemel Hempstead,Herts,Worker (A rating),Skilled Worker,https://boxxe.com
C3 BIO-TECHNOLOGIES LIMITED,Lancaster,Lancashire,Worker (A rating),Skilled Worker,
C6 Digital Ltd,London,,Worker (A rating),Skilled Worker,https://c6digital.io
Cadcam Technology Ltd,Nottingham,Notts,Worker (A rating),Skilled Worker,https://cadcamtech.co.uk
CADRO TECHNOLOGIES LIMITED,London,,Worker (A rating),Skilled Worker,https://www.cadro.com
Caesars Trading and Technology Services Limited,Leeds,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://edmn.fa.us2.oraclecloud.com
Caesars Trading and Technology Services Limited,Leeds,,Worker (A rating),Skilled Worker,https://edmn.fa.us2.oraclecloud.com
Caiman Software Development Limited,Banchory,Aberdeenshire,Worker (A rating),Skilled Worker,https://caiman-soft.co.uk
Cambridge Digital Health,Cambridge,,Worker (A rating),Skilled Worker,https://cambridge.cylex-uk.co.uk
Cairn technology Ltd,Sheffield,South Yorkshire,Worker (A rating),Skilled Worker,
Cambridge Display Technology Ltd,Godmanchester,Cambridgeshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://cambridge.cylex-uk.co.uk
Caldervale Technology Limited,Dewsbury,West Yorkshire,Worker (A rating),Skilled Worker,
Cambridge Medical Technologies Limited,Harston,Cambridgeshire,Worker (A rating),Skilled Worker,https://www.cambridgemedtech.com
Caledonia Technologies Ltd,East Kilbride,,Worker (A rating),Skilled Worker,https://east-kilbride-south-lanarkshire.cylex-uk.co.uk
Cambridge Crystallographic Data Centre,Cambridge,Cambridgeshire,Worker (A rating),Skilled Worker,https://www.cambridgenetwork.co.uk
Call Systems Technology Limited,Elstree,Hertfordshire,Worker (A rating),Skilled Worker,
Cambridge Display Technology Ltd,Godmanchester,Cambridgeshire,Worker (A rating),Skilled Worker,
Cambridge Photon Technology Limited,Saffron Walden,Essex,Worker (A rating),Skilled Worker,
Cambridge Touch Technologies Limited,Cambridge,Cambridgeshire,Worker (A rating),Skilled Worker,https://cambridgesciencepark.co.uk
Canalis Technology Limited,Stockport,,Worker (A rating),Skilled Worker,https://www.gbrbusiness.com
Camden AI Limited,London,,Worker (A rating),Skilled Worker,
Canopy Technologies Ltd,Hamble,,Worker (A rating),Skilled Worker,https://www.canopyuk.com
Cameron Flow Control Technology (UK) Limited,Crawley,West Sussex,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://www.slb.com
Canvas Software Limited,London,,Worker (A rating),Skilled Worker,https://canvassoftware.squarespace.com
Cameron Flow Control Technology (UK) Limited,Crawley,West Sussex,Worker (A rating),Skilled Worker,
Capital Computer Software Ltd,London,London,Worker (A rating),Skilled Worker,https://www.capitalcomputers.co.uk
Capillary Technologies Europe Limited,Hammersmith,,Worker (A rating),Skilled Worker,https://www.capillarytech.com
Camlin Technologies Limited,Lisburn,Antrim,Worker (A rating),Skilled Worker,https://camlingroup.com
Cantronik Ltd TA Veethree Technologies,Poole,Dorset,Worker (A rating),Skilled Worker,https://www.veethree.com
Capital Administration Technology Ltd,London,,Worker (A rating),Skilled Worker,https://www.checkcompany.co.uk
CAPRICE CLOUD TECHNOLOGIES LTD,LONDON,,Worker (A rating),Skilled Worker,https://caprice.company
Capsa.AI Ltd,London,,Worker (A rating),Skilled Worker,
Captify Technologies Ltd,London,,Worker (A rating),Skilled Worker,https://captifytechnologies.com
Careberry Software Ltd,Aylesbury,Buckinghamshire,Worker (A rating),Skilled Worker,https://www.careberry.com
CAPITAL TRAINING AND DEVELOPMENT NETWORK,London,,Temporary Worker (A rating),Charity Worker,
Carlisle Fluid Technologies UK Lttd,Bournemouth,Dorset,Worker (A rating),Skilled Worker,https://www.carlisle.com
CARMENTA TECHNOLOGIES LTD,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://carmenta.com
Cara Technology Limited,Leatherhead,Surrey,Worker (A rating),Skilled Worker,https://cara-technology.com
Carbon (AI) Ltd,Middlesbrough,County Durham,Worker (A rating),Skilled Worker,
Carbon Limiting Technologies,Fleet,Hampshire,Worker (A rating),Skilled Worker,https://carbonlimitingtechnologies.com
CARMENTA TECHNOLOGIES LTD,London,,Worker (A rating),Skilled Worker,https://carmenta.com
Caribbean & African Health Network (CAHN),Manchester,,Worker (A rating),Skilled Worker,
CASM Technology LLP,London,,Worker (A rating),Skilled Worker,https://www.casmtechnology.com
Cast Software Limited,London,,Worker (A rating),Skilled Worker,
Catalent Micron Technologies Limited,Dartford,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Catalent Micron Technologies Limited,Dartford,,Worker (A rating),Skilled Worker,
Catch Digital,London,,Worker (A rating),Skilled Worker,
Cato Networks (UK) Limited,London,,Worker (A rating),Skilled Worker,
CB Technology Ltd,Livingston,,Worker (A rating),Skilled Worker,https://www.cbtech.co.uk
Causeway Technologies Ltd,Gerrards Cross,Bucks,Worker (A rating),Skilled Worker,https://www.causeway.com
CEDE TECHNOLOGIES LTD,London,England,Worker (A rating),Skilled Worker,https://cedehq.com
Causeway Technologies Ltd,Gerrards Cross,Bucks,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://www.causeway.com
Caysure Digital Limited,London,,Worker (A rating),Skilled Worker,
CCL Technology Solutions Ltd,Bellshill,,Worker (A rating),Skilled Worker,
CCm Technologies Ltd,Swindon,,Worker (A rating),Skilled Worker,
CCS Technology Ltd,Coventry,Warwickshire,Worker (A rating),Skilled Worker,
CEH TECHNOLOGIES LTD,Manchester,,Worker (A rating),Skilled Worker,https://en.cehgroup.com
CELEBAL TECHNOLOGIES UK LTD,Harrow,Middlesex,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
CELEBAL TECHNOLOGIES UK LTD,Harrow,Middlesex,Worker (A rating),Skilled Worker,https://celebaltech.com
Celebrium Technologies Limited,Bradford,ENGLAND,Worker (A rating),Skilled Worker,
Celer Technologies Limited,London,,Worker (A rating),Skilled Worker,https://www.celer-tech.com
Celebrus Technologies Plc,Sunbury,Middlesex,Worker (A rating),Skilled Worker,
Center for Countering Digital Hate LTD,London,,Worker (A rating),Skilled Worker,https://counterhate.com
Centra Technology UK Limited,London,,Worker (A rating),Skilled Worker,http://centra.co.uk
Central Manchester Networks LTD,Manchester,,Worker (A rating),Skilled Worker,https://www.centralnetworks.co.uk
CellVoyant Technologies Limited,Bristol,,Worker (A rating),Skilled Worker,https://cellvoyant.com
Celestia Technologies Group - UK Ltd,Edinburgh,,Worker (A rating),Skilled Worker,
Cenex (Centre of Excellence for Low Carbon and Fuel Cell Technologies),Loughborough,Leicestershire,Worker (A rating),Skilled Worker,
"Centre for Finance, Technology and Entrepreneurship Ltd","London,",,Worker (A rating),Skilled Worker,https://www.bing.com
Centium Software Limited,Milton Keynes,,Worker (A rating),Skilled Worker,
"Centre for Finance, Technology and Entrepreneurship Ltd","London,",,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://www.bing.com
Centillion Technology Limited,Cambridge,,Worker (A rating),Skilled Worker,
Central North Leeds Primary Care Network Ltd,Leeds,,Worker (A rating),Skilled Worker,https://centralnorthleedspcn.co.uk
Central West Primary Care Network Ltd,Blackpool,Lancashire,Worker (A rating),Skilled Worker,https://www.blackpoolcentralwestpcn.co.uk
Central Technology Ltd,Chesterfield,Derbshire,Worker (A rating),Skilled Worker,
"Centre for Finance, Technology and Entrepreneurship Ltd","London,",,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee,https://www.bing.com
Centryflow Technologies Ltd,SOUTHEND-ON-SEA,Essex,Worker (A rating),Skilled Worker,https://www.centryflow.com
Centre for the Governance of AI,London,,Worker (A rating),Skilled Worker,https://www.bing.com
Cerillion Technologies Limited,London,,Worker (A rating),Skilled Worker,https://www.cerillion.com
CENTRE OF INTELLIGENT TECHNOLOGIES LTD,Dewsbury,,Worker (A rating),Skilled Worker,
CERIS E-COMMERCE & DIGITAL MARKETING LTD,LONDON,,Worker (A rating),Skilled Worker,https://cerismarketing.com
Centrepoint Computer Services Ltd,Epsom,Surrey,Worker (A rating),Skilled Worker,
CENTURAY TECHNOLOGIES UK LTD,London,,Worker (A rating),Global Business Mobility: UK Expansion Worker,
Cerillion Technologies Limited,London,,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee,https://www.cerillion.com
Cerillion Technologies Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://www.cerillion.com
Ceto AI Limited,Newcastle,Tyne & Wear,Worker (A rating),Skilled Worker,https://ceto.ai
Certs Assured Technology Limited,Letchworth,Hertfordshire,Worker (A rating),Skilled Worker,
CHAIN & CHAIN TECHNOLOGIES LIMITED,LONDON,,Worker (A rating),Skilled Worker,https://london.cylex-uk.co.uk
Chalfont AI Ltd T/A Fern Labs,London,,Worker (A rating),Skilled Worker,https://immigrationgpt.co.uk
Chalkie AI Ltd,Sheffield,,Worker (A rating),Skilled Worker,https://chalkie.ai
Champion Technologies Limited,Aberdeen,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://altens-industrial-estate.cylex-uk.co.uk
Champion Technologies Limited,Aberdeen,,Worker (A rating),Skilled Worker,https://altens-industrial-estate.cylex-uk.co.uk
Changepond Technologies Private Limited,Harrow,Middlesex,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://www.changepond.com
Chameleon Technology Ltd,Harrogate,,Worker (A rating),Skilled Worker,
CHAMPION TECHNOLOGIES LIMITED,ABERDEEN,United Kingdom,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://altens-industrial-estate.cylex-uk.co.uk
CHAMPION TECHNOLOGIES LIMITED,ABERDEEN,United Kingdom,Worker (A rating),Skilled Worker,
Chargepoint Network (UK) Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://www.chargepoint.com
Chargepoint Network (UK) Ltd,London,,Worker (A rating),Skilled Worker,https://www.chargepoint.com
Charlotte's Cloud Ltd,London,,Worker (A rating),Skilled Worker,https://www.charlottes-cloud.co.uk
Chase Software Solutions Ltd,Surbiton,Surrey,Worker (A rating),Skilled Worker,https://www.chasesoftware.biz
Charterhouse Voice & Data Limited,London,,Worker (A rating),Skilled Worker,https://cvdgroup.com
CHANDRAWAR IT TECHNOLOGIES PVT LTD,Manchester,,Worker (A rating),Skilled Worker,http://www.chanit.co.uk
Changepond Technologies Private Limited,Harrow,Middlesex,Worker (A rating),Skilled Worker,https://www.changepond.com
Channel Digital Holdings Limited,London,,Worker (A rating),Skilled Worker,https://opengovuk.com
Chase Software Solutions Ltd,Surbiton,Surrey,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://www.chasesoftware.biz
Chelsea Digital Ventures Ltd,London,,Worker (A rating),Skilled Worker,https://www.chelsea-digital.com
Chestergate Technologies Ltd,Macclesfield,,Worker (A rating),Skilled Worker,https://www.chestergatetech.co.uk
Cheam Academies Network,Cheam,Surrey,Worker (A rating),Skilled Worker,
Cheq Technologies (UK) Limited,London,,Worker (A rating),Skilled Worker,
Chess Logistics Technology Limited,Manchester,,Worker (A rating),Skilled Worker,https://www.bing.com
China Global Television Network Europe Ltd.,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://www.cgtn.com
China Telecom (Europe) Ltd.,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://www.chinatelecomeurope.com
CHESTER CENTRAL PRIMARY CARE NETWORK LTD,CHESTER,CHESHIRE,Worker (A rating),Skilled Worker,
China Telecom (Europe) Ltd.,London,,Worker (A rating),Skilled Worker,https://www.chinatelecomeurope.com
China-Europe Networks of Technology and Innovation Limited,London,,Worker (A rating),Skilled Worker,https://www.companiesintheuk.co.uk
Chi Technology Ltd,Stratford-Upon-Avon,Warwickshire,Worker (A rating),Skilled Worker,https://chitechnology.co.uk
Chief AI Ltd,Manchester,,Worker (A rating),Skilled Worker,https://chief.ai
Chilli Source Software Limited,Newry,Co Down,Worker (A rating),Skilled Worker,
Chiplogic Technologies Limited,Maidenhead,Berkshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://www.chiplogictech.com
Chime Software Limited,Kings Langley,,Worker (A rating),Skilled Worker,
China Global Television Network Europe Ltd.,London,,Worker (A rating),Skilled Worker,https://www.cgtn.com
Chinacache Networks (UK) Limited,London,,Worker (A rating),Skilled Worker,https://www.companieslist.co.uk
Chiplogic Technologies Limited,Maidenhead,Berkshire,Worker (A rating),Skilled Worker,
Christian Associates Network,Glasgow,Glasgow (City of),Temporary Worker (A rating),Charity Worker,https://ca-network.org.uk
Chipper Technologies (UK) Limited,London,,Worker (A rating),Skilled Worker,
Chipper Technologies (UK) Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Chipstone (UK) Technologies Ltd,London,,Worker (UK Expansion Worker: Provisional ),Global Business Mobility: UK Expansion Worker,
"CHONGQING CABERS ENVIRONMENTAL PROTECTION TECHNOLOGY UK CO, LTD",London,,Worker (A rating),Skilled Worker,
Cigniti Technologies (UK) Limited,London,,Worker (A rating),Skilled Worker,https://www.cigniti.com
Christian Associates Network,Glasgow,Glasgow (City of),Worker (A rating),Tier 2 Ministers of Religion,https://ca-network.org.uk
Christian Associates Network,Glasgow,Glasgow (City of),Temporary Worker (A rating),Religious Worker,
