organisation_name,town_city,county,type_rating,route,careers_website
Cerillion Technologies Limited,London,,Worker (A rating),Skilled Worker,
Cerillion Technologies Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
CERIS E-COMMERCE & DIGITAL MARKETING LTD,LONDON,,Worker (A rating),Skilled Worker,
Certs Assured Technology Limited,Letchworth,Hertfordshire,Worker (A rating),Skilled Worker,
Ceto AI Limited,Newcastle,Tyne & Wear,Worker (A rating),Skilled Worker,
CHAIN & CHAIN TECHNOLOGIES LIMITED,LONDON,,Worker (A rating),Skilled Worker,
Chalfont AI Ltd T/A Fern Labs,London,,Worker (A rating),Skilled Worker,
Chalkie AI Ltd,Sheffield,,Worker (A rating),Skilled Worker,
Chameleon Technology Ltd,Harrogate,,Worker (A rating),Skilled Worker,
CHAMPION TECHNOLOGIES LIMITED,ABERDEEN,United Kingdom,Worker (A rating),Skilled Worker,
CHAMPION TECHNOLOGIES LIMITED,ABERDEEN,United Kingdom,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Champion Technologies Limited,Aberdeen,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Champion Technologies Limited,Aberdeen,,Worker (A rating),Skilled Worker,
CHANDRAWAR IT TECHNOLOGIES PVT LTD,Manchester,,Worker (A rating),Skilled Worker,
Changepond Technologies Private Limited,Harrow,Middlesex,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Changepond Technologies Private Limited,Harrow,Middlesex,Worker (A rating),Skilled Worker,
Channel Digital Holdings Limited,London,,Worker (A rating),Skilled Worker,
Chargepoint Network (UK) Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Chargepoint Network (UK) Ltd,London,,Worker (A rating),Skilled Worker,
Charlotte's Cloud Ltd,London,,Worker (A rating),Skilled Worker,
Charterhouse Voice & Data Limited,London,,Worker (A rating),Skilled Worker,
Chase Software Solutions Ltd,Surbiton,Surrey,Worker (A rating),Skilled Worker,
Chase Software Solutions Ltd,Surbiton,Surrey,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Cheam Academies Network,Cheam,Surrey,Worker (A rating),Skilled Worker,
Chelsea Digital Ventures Ltd,London,,Worker (A rating),Skilled Worker,
Cheq Technologies (UK) Limited,London,,Worker (A rating),Skilled Worker,
Chess Logistics Technology Limited,Manchester,,Worker (A rating),Skilled Worker,
CHESTER CENTRAL PRIMARY CARE NETWORK LTD,CHESTER,CHESHIRE,Worker (A rating),Skilled Worker,
Chestergate Technologies Ltd,Macclesfield,,Worker (A rating),Skilled Worker,
Chi Technology Ltd,Stratford-Upon-Avon,Warwickshire,Worker (A rating),Skilled Worker,
Chief AI Ltd,Manchester,,Worker (A rating),Skilled Worker,
Chilli Source Software Limited,Newry,Co Down,Worker (A rating),Skilled Worker,
Chime Software Limited,Kings Langley,,Worker (A rating),Skilled Worker,
China Global Television Network Europe Ltd.,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
China Global Television Network Europe Ltd.,London,,Worker (A rating),Skilled Worker,
China Telecom (Europe) Ltd.,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
China Telecom (Europe) Ltd.,London,,Worker (A rating),Skilled Worker,
China-Europe Networks of Technology and Innovation Limited,London,,Worker (A rating),Skilled Worker,
Chinacache Networks (UK) Limited,London,,Worker (A rating),Skilled Worker,
Chiplogic Technologies Limited,Maidenhead,Berkshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Chiplogic Technologies Limited,Maidenhead,Berkshire,Worker (A rating),Skilled Worker,
Chipper Technologies (UK) Limited,London,,Worker (A rating),Skilled Worker,
Chipper Technologies (UK) Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Chipstone (UK) Technologies Ltd,London,,Worker (UK Expansion Worker: Provisional ),Global Business Mobility: UK Expansion Worker,
"CHONGQING CABERS ENVIRONMENTAL PROTECTION TECHNOLOGY UK CO, LTD",London,,Worker (A rating),Skilled Worker,
Christian Associates Network,Glasgow,Glasgow (City of),Temporary Worker (A rating),Charity Worker,
Christian Associates Network,Glasgow,Glasgow (City of),Temporary Worker (A rating),Religious Worker,
Christian Associates Network,Glasgow,Glasgow (City of),Worker (A rating),Tier 2 Ministers of Religion,
Christie Digital Systems Canada Inc.,Wokingham,Berkshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Christie Digital Systems Canada Inc.,Wokingham,Berkshire,Worker (A rating),Skilled Worker,
CHRONICLE SOFTWARE LTD,London,,Worker (A rating),Skilled Worker,
Cigniti Technologies (UK) Limited,London,,Worker (A rating),Skilled Worker,
Cigniti Technologies (UK) Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
CIM Software Ltd,Southampton,Hampshire,Worker (A rating),Skilled Worker,
CIMC Universal Tank Technologies (UK) Ltd,Skelmersdale,Lancashire,Worker (A rating),Skilled Worker,
Cimcon Software (UK) Limited,Reading,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Cimcon Software (UK) Limited,Reading,,Worker (A rating),Skilled Worker,
CIP TERRA TECHNOLOGIES UK LTD.,Rotherham,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
CIP TERRA TECHNOLOGIES UK LTD.,Rotherham,,Worker (A rating),Skilled Worker,
Circadia Technologies Ltd,London,,Worker (A rating),Skilled Worker,
Circle Cloud Communications Ltd,SOUTHAMPTON,,Worker (A rating),Skilled Worker,
CIT Digital Ltd,Sheffield,,Worker (A rating),Skilled Worker,
CITATION CYBER LIMITED,Lancaster,,Worker (A rating),Skilled Worker,
CitiusTech Healthcare Technology Pvt. Ltd,"New Denham, Uxbridge",Middlesex,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
CitiusTech Healthcare Technology Pvt. Ltd,"New Denham, Uxbridge",Middlesex,Worker (A rating),Skilled Worker,
CITY CONSTRUCTION NETWORK LTD,ILFORD,,Worker (A rating),Skilled Worker,
Cityplus Network Ltd,London,,Worker (A rating),Skilled Worker,
CITYSCAPE DIGITAL LIMITED,LONDON,GREATER LONDON,Worker (A rating),Skilled Worker,
CJS Managed Cloud Services Ltd,Leeds,,Worker (A rating),Skilled Worker,
CLAIMWISE AI LIMITED,London,,Worker (A rating),Skilled Worker,
Clara Technologies (UK) Limited,London,,Worker (A rating),Skilled Worker,
Clarity AI LTD,London,,Worker (A rating),Skilled Worker,
Clarity Software Group Limited,Solihull,West Midlands,Worker (A rating),Skilled Worker,
CLASS TECHNOLOGY SOLUTIONS LTD,Horsham,West Sussex,Worker (A rating),Skilled Worker,
CLASS TECHNOLOGY SOLUTIONS LTD,Horsham,West Sussex,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Clean Digital Limited,Edinburgh,,Worker (A rating),Skilled Worker,
Clear AV Limited t/as OKTO Technologies,Lisburn,,Worker (A rating),Skilled Worker,
Clear Score Technology Limited,London,,Worker (A rating),Skilled Worker,
Clearly Technologies Limited,London,,Worker (A rating),Skilled Worker,
Clearmatics Technologies Ltd,London,,Worker (A rating),Skilled Worker,
Cleo AI Ltd,London,,Worker (A rating),Skilled Worker,
Clientserver Technology Solutions Ltd,Rugby,,Worker (A rating),Skilled Worker,
Clinical Network Systems Limited,London,,Worker (A rating),Skilled Worker,
Clockwork Technologies UK Limited,London,,Worker (A rating),Skilled Worker,
Cloud & Compliance Ltd,Birmingham,,Worker (A rating),Skilled Worker,
CLOUD 9 BEDS LIMITED,Huddersfield,,Worker (A rating),Skilled Worker,
Cloud Agri LTD,Manchester,,Worker (A rating),Skilled Worker,
Cloud Aiops Consulting Ltd,Swindon,,Worker (A rating),Skilled Worker,
Cloud Analytics Limited,Rickmansworth,Hertfordshire,Worker (A rating),Skilled Worker,
Cloud Army UK Limited,Harrow,Middlesex,Worker (A rating),Skilled Worker,
Cloud Aware Services Ltd,London,,Worker (A rating),Skilled Worker,
Cloud Bleu Management Services Limited,Hampshire,,Worker (A rating),Skilled Worker,
Cloud Bridge Technologies Limited,Manchester,,Worker (A rating),Skilled Worker,
Cloud Capital LLP,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Cloud Capital LLP,London,,Worker (A rating),Skilled Worker,
Cloud Combinator LTD,Shenfield,United Kingdom,Worker (A rating),Skilled Worker,
CLOUD COMPUTING SERVICES LTD,Livingston,,Worker (A rating),Skilled Worker,
Cloud Construction Control Limited,Motherwell,,Worker (A rating),Skilled Worker,
Cloud Consulting Group Ltd,Bristol,,Worker (A rating),Skilled Worker,
Cloud Cowork Ltd,Romford,,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee,
CLOUD CX LTD,London,,Worker (A rating),Skilled Worker,
Cloud Cycle Ltd,London,,Worker (A rating),Skilled Worker,
CLOUD DATA CONSULTANTS LTD,Slough,,Worker (A rating),Skilled Worker,
Cloud Digest Ltd,Oxted,Surrey,Worker (A rating),Skilled Worker,
Cloud Digital Limited,Hinckley,,Worker (A rating),Skilled Worker,
CLOUD DOING GOOD GROUP LIMITED,West Wycombe,,Worker (A rating),Skilled Worker,
Cloud Flicker Solutions Ltd,Beaconsfield,,Worker (A rating),Skilled Worker,
Cloud Galacticos,London,Greater London,Worker (A rating),Skilled Worker,
Cloud Imperium Games Limited,Manchester,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Cloud Imperium Games Limited,Manchester,,Temporary Worker (A rating),Creative Worker,
Cloud Imperium Games Limited,Manchester,,Worker (A rating),Skilled Worker,
CLOUD IX KITCHENS LTD,UXBRIDGE,MIDDLESEX,Worker (A rating),Skilled Worker,
Cloud Kitchen London Ltd T/AS Hyderabad Wala {House of Biryani},London,,Worker (A rating),Skilled Worker,
Cloud Lending UK Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Cloud Lending UK Ltd,London,,Worker (A rating),Skilled Worker,
Cloud Logics Ltd,BROMLEY,,Worker (A rating),Skilled Worker,
Cloud Made Ltd,London,,Worker (A rating),Skilled Worker,
CLOUD MANAGER LIMITED,Reading,Berkshire,Worker (A rating),Skilled Worker,
Cloud Mantra Limited,New Barnet,,Worker (A rating),Skilled Worker,
Cloud Master Limited,Reading,,Worker (A rating),Skilled Worker,
Cloud Ninjas Limited,Halesowen,West Midlands,Worker (A rating),Skilled Worker,
CLOUD ODYSSEY IT SOLUTIONS LTD,London,,Worker (A rating),Skilled Worker,
CLOUD RETAIL LTD,London,,Worker (A rating),Skilled Worker,
Cloud SG UK Ltd,London,,Worker (A rating),Skilled Worker,
Cloud SG UK Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Cloud Stem Ltd,London,,Worker (A rating),Skilled Worker,
CLOUD TAX LIMITED,London,,Worker (A rating),Skilled Worker,
CLOUD TECHEES LTD,Ipswich,,Worker (A rating),Skilled Worker,
Cloud Technologies Ltd,Ilford,Essex,Worker (A rating),Skilled Worker,
Cloud Travel Limited,Southall,,Worker (A rating),Skilled Worker,
Cloud Valley Ltd,Stratford,,Worker (A rating),Skilled Worker,
cloud.IQ Limited,London,,Worker (A rating),Skilled Worker,
CLOUDFIRST TECHNOLOGIES LTD,CHELMSFORD,,Worker (A rating),Skilled Worker,
CloudMind AI Limited,Bromley,,Worker (A rating),Skilled Worker,
CloudNet Technologies Limited,Manchester,,Worker (A rating),Skilled Worker,
CloudPay Technology Limited,Andover,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
CloudPay Technology Limited,Andover,,Worker (A rating),Skilled Worker,
Cloudscouts Technology Services UK Ltd,Slough,Berkshire,Worker (A rating),Skilled Worker,
Cloudwick Technologies UK,Kent,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Cloudwick Technologies UK,Kent,,Worker (A rating),Skilled Worker,
CM CLOUD & DEVOPS LTD,London,Middlesex,Worker (A rating),Skilled Worker,
CM TELECOM UK LTD,Tonbridge,,Worker (A rating),Skilled Worker,
CM TELECOM UK LTD,London,London,Worker (A rating),Skilled Worker,
CM TELECOM UK LTD,Tonbridge,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
CMB.TECH Technology & Development Centre Ltd,Brentwood,Essex,Worker (A rating),Skilled Worker,
CNC - Communications & Network Consulting Limited,London,,Worker (A rating),Skilled Worker,
CNC - Communications & Network Consulting Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
CNI NEWS NETWORK LTD,Birmingham,,Worker (A rating),Skilled Worker,
CNI NEWS NETWORK LTD,Birmingham,,Temporary Worker (A rating),Creative Worker,
Coatsink Software Ltd,Gateshead,,Worker (A rating),Skilled Worker,
Cocoa Oriental Network UK Limited,London,,Worker (A rating),Skilled Worker,
Code 42 Software UK Limited,Maidenhead,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Code 42 Software UK Limited,Maidenhead,,Worker (A rating),Skilled Worker,
Coder Technologies Inc,London,,Worker (A rating),Global Business Mobility: UK Expansion Worker,
Codereflex Technologies Ltd,Enderby,Leicester,Worker (A rating),Skilled Worker,
Codex Software Solutions Ltd,Cheltenham,Gloucestershire,Worker (A rating),Skilled Worker,
CODM SOFTWARE LIMITED,London,,Worker (A rating),Skilled Worker,
COGA AI Limited,Orpington,,Worker (A rating),Skilled Worker,
COGENT NETWORKS LTD,London,,Worker (A rating),Skilled Worker,
Cognia Cloud Limited t/a Smarsh,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Cognia Cloud Limited t/a Smarsh,London,,Worker (A rating),Skilled Worker,
Cognito Technologies Limited,Leeds,,Worker (A rating),Skilled Worker,
Collaborative Software Limited T/A Admit One,Wareham,Dorset,Worker (A rating),Skilled Worker,
COLOR STAR TECHNOLOGY UK LIMITED,London,,Worker (A rating),Skilled Worker,
Colt Technology Services Group Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Colt Technology Services Group Limited,London,,Worker (A rating),Skilled Worker,
Colvir Software Solutions Ltd,London,,Worker (A rating),Skilled Worker,
Combine AI Limited,Guildford,Surrey,Worker (A rating),Skilled Worker,
CoMind Technologies Limited,London,,Worker (A rating),Skilled Worker,
COMM-TECH VOICE & DATA LIMITED,Norwich,Norfolk,Worker (A rating),Skilled Worker,
Commerce Software UK LTD,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Commerce Software UK LTD,London,,Worker (A rating),Skilled Worker,
COMMODITIES AI LTD,London,,Worker (A rating),Skilled Worker,
Commonplace Digital LTD,Manchester,,Worker (A rating),Skilled Worker,
Communications Software (Airline systems) Limited,London,,Worker (A rating),Skilled Worker,
Communications Software Airline Systems Ltd,Ashbourne,Derbyshire,Worker (A rating),Skilled Worker,
Community Trust Network,Milton Keynes,,Worker (A rating),Skilled Worker,
CompatibL Technologies Ltd,London,Greater London,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
CompatibL Technologies Ltd,London,Greater London,Worker (A rating),Skilled Worker,
Complete Cyber Limited,Princes Risborough,Buckinghamshire,Worker (A rating),Skilled Worker,
Compound Digital Technologies Limited,London,,Worker (A rating),Skilled Worker,
Computer Club Limited,Stockport,,Worker (A rating),Skilled Worker,
Computer ConQuest ltd,Shangton,Leics,Worker (A rating),Skilled Worker,
COMPUTER DATA SHRED LTD,Leicester,,Worker (A rating),Skilled Worker,
Computer Gurus Limited,Tunbridge Wells,Kent,Worker (A rating),Skilled Worker,
COMPUTER HYPE LTD,London,London,Worker (A rating),Skilled Worker,
COMPUTER INTELLECTS LIMITED,London,London,Worker (A rating),Skilled Worker,
Computer Says Maybe Ltd,London,,Worker (A rating),Skilled Worker,
Computer Specialist LTD,Birmingham,,Worker (A rating),Skilled Worker,
Computer Task Group (UK) LTD,Reading,Berkshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Computer Task Group (UK) LTD,Reading,Berkshire,Worker (A rating),Skilled Worker,
Computer Troubleshooters Redbridge Limited,Ilford,Essex,Worker (A rating),Skilled Worker,
Computing Distribution Group Ltd,Sunningdale,Berkshire,Worker (A rating),Skilled Worker,
COMTEK NETWORK SYSTEMS (UK)LTD,DEESIDE,FLINTSHIRE,Worker (A rating),Skilled Worker,
Comviva Technologies Limited,London,,Worker (A rating),Skilled Worker,
Comviva Technologies Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Concur Technologies (UK) Limited,Feltham,Middlesex,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Concur Technologies (UK) Limited,Feltham,Middlesex,Worker (A rating),Skilled Worker,
Concurrent Technologies Plc,Colchester,Essex,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Concurrent Technologies Plc,Colchester,Essex,Worker (A rating),Skilled Worker,
Conduct AI Ltd,London,,Worker (A rating),Skilled Worker,
Conference Technologies UK Limited,Retford,Nottinghamshire,Worker (A rating),Skilled Worker,
Connect In Cloud Ltd,Tilbury,Essex,Worker (A rating),Skilled Worker,
Connect Software Solutions Limited,"Nelson, Lancashire",,Worker (A rating),Skilled Worker,
Connected Data Company Ltd,London,,Worker (A rating),Skilled Worker,
CONSTELLATION TECHNOLOGY SERVICES LTD,Milton Keynes,Buckinghamshire,Worker (A rating),Skilled Worker,
Contained Technologies UK Ltd,Spalding,Lincolnshire,Worker (A rating),Skilled Worker,
Container Solutions Software Ltd,London,,Worker (A rating),Skilled Worker,
CONTENT+CLOUD LIMITED,Manchester,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
CONTENT+CLOUD LIMITED,Manchester,,Worker (A rating),Skilled Worker,
CONTEXTUAL TECHNOLOGIES LTD,London,,Worker (A rating),Skilled Worker,
Continental Networks LTD,Gateshead,,Worker (A rating),Skilled Worker,
Contour Technologies Limited,Gloucester,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Contour Technologies Limited,Gloucester,,Worker (A rating),Skilled Worker,
CONTRACTPOD TECHNOLOGIES LIMITED,LONDON,,Worker (A rating),Skilled Worker,
Control Flow Technologies Group Ltd,Sunderland,Tyne and Wear,Worker (A rating),Skilled Worker,
Control Technologies UK Ltd,Sharnbrook,Bedfordshire,Worker (A rating),Skilled Worker,
Conveo.ai UK Ltd,Altrincham,Cheshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Conveo.ai UK Ltd,Altrincham,Cheshire,Worker (A rating),Skilled Worker,
Convergence (Group Networks) Limited,Solihull,,Worker (A rating),Skilled Worker,
Convergint Technologies UK,Crowborough,East Sussex,Worker (A rating),Skilled Worker,
"Convergint Technologies UK, Limited",Crowborough,East Sussex,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
"Convergint Technologies UK, Limited",Crowborough,East Sussex,Worker (A rating),Skilled Worker,
Conway Marsh Garrett Technologies Limited,Rendlesham,Suffolk,Worker (A rating),Skilled Worker,
Conway Marsh Garrett Technologies Limited CMG Technologies,Rendlesham,,Worker (A rating),Skilled Worker,
Coolgarif Technologies Ltd,London,,Worker (A rating),Skilled Worker,
Cooper Research Technology Limited,Ripley,Derbyshire,Worker (A rating),Skilled Worker,
Cooper Square Technologies UK Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Cooper Square Technologies UK Ltd,London,,Worker (A rating),Skilled Worker,
Cooperative AI Foundation,Exeter,,Worker (A rating),Skilled Worker,
COPA-DATA UK LIMITED,Bristol,,Worker (A rating),Skilled Worker,
Copper Technologies (UK) Limited,London,,Worker (A rating),Skilled Worker,
Cord Technologies Limited,London,,Worker (A rating),Skilled Worker,
Cordiant Digital Infrastructure Management LLP,London,Select,Worker (A rating),Skilled Worker,
Cordon Technologies Ltd,LONDON,,Worker (A rating),Skilled Worker,
Core Consulting Information Technology Limited,South Croydon,,Worker (A rating),Skilled Worker,
CORE NETWORK SOLUTIONS UK LTD,Slough,Berkshire,Worker (A rating),Skilled Worker,
Core Technology Systems Uk Ltd,LONDON,,Worker (A rating),Skilled Worker,
Corero Network Security (UK) Limited,London,,Worker (A rating),Skilled Worker,
CORTI AI UK LIMITED,London,,Worker (A rating),Skilled Worker,
Cotham Technologies Limited,Bristol,,Worker (A rating),Skilled Worker,
Count Technologies Ltd,London,,Worker (A rating),Skilled Worker,
Coupa Software UK Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Coupa Software UK Ltd,London,,Worker (A rating),Skilled Worker,
Covarius Technology Limited,London,,Worker (A rating),Skilled Worker,
Covasant Technologies (UK) Private Limited,London,,Worker (A rating),Skilled Worker,
Covasant Technologies (UK) Private Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Cowbell Cyber Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Cowbell Cyber Ltd,London,,Worker (A rating),Skilled Worker,
Cozentus Technologies UK Limited,Harrow,Middlesex,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Cozentus Technologies UK Limited,Harrow,Middlesex,Worker (A rating),Skilled Worker,
CPI TMD Technologies Ltd,Hayes,Middlesex,Worker (A rating),Skilled Worker,
Create Digital Solutions Ltd,Harrow,Middlesex,Worker (A rating),Skilled Worker,
CREATION LABS AI LTD T.A HYPERMILE,LONDON,,Worker (A rating),Skilled Worker,
Creation Technology Solutions Limited,London,,Worker (A rating),Skilled Worker,
Creative Network Consulting Ltd t/a Creative ITC,London,,Worker (A rating),Skilled Worker,
CREATIVE NETWORKS LIMITED,Rochdale,,Worker (A rating),Skilled Worker,
Creativity Software Ltd,"Kingston upon Thames,",Surrey,Worker (A rating),Skilled Worker,
Creativity Software Ltd,Kingston upon Thames,Surrey,Worker (A rating),Skilled Worker,
Creator Cloud Ltd,Northampton,,Worker (A rating),Skilled Worker,
Credit Data Research Ltd,London,,Worker (A rating),Skilled Worker,
Credit Data Research Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Credit Data Research Ltd,London,,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee,
Crednet Technologies Limited UK,Ruslip,London,Worker (A rating),Skilled Worker,
Credo Technology Services UK Ltd,Leeds,,Worker (A rating),Skilled Worker,
Cremexchange Technology Ltd,Queenborough,,Worker (A rating),Skilled Worker,
Cremexchange Technology Ltd,Queenborough,,Worker (A rating),Global Business Mobility: UK Expansion Worker,
CREX Technologies Limited,London,,Worker (A rating),Skilled Worker,
Critical Software Ltd,Southampton,Hampshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Critical Software Ltd,Southampton,Hampshire,Worker (A rating),Skilled Worker,
CROESUS DIGITAL MARKETING LIMITED T/A SOCIAL NUCLEUS,Manchester,,Worker (A rating),Skilled Worker,
CROMPTON TECHNOLOGY GROUP LTD,BANBURY,,Worker (A rating),Skilled Worker,
Cron AI Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Cron AI Ltd,London,,Worker (A rating),Skilled Worker,
Crowd Data Systems Limited,Chelmsford,Essex,Worker (A rating),Skilled Worker,
Crowd Network Limited,Manchester,,Worker (A rating),Skilled Worker,
Crucible Digital Ltd,London,Greater London,Worker (A rating),Skilled Worker,
CrystalMaker Software Ltd,Begbroke,Oxfordshire,Worker (A rating),Skilled Worker,
CSC Computer Sciences Limited,Farnborough,Hampshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
CSC Computer Sciences Limited,Farnborough,Hampshire,Worker (A rating),Skilled Worker,
CTE Advanced Technologies Ltd,Aylesbury,England,Worker (A rating),Skilled Worker,
CTI Digital Limited,Manchester,,Worker (A rating),Skilled Worker,
CTO Data Services Group Ltd,London,,Worker (A rating),Skilled Worker,
Cube Digital Scotland Ltd t/a CubeWraps,Hamilton,,Worker (A rating),Skilled Worker,
Cube Technology IT Services Ltd,Harrow,Middlesex,Worker (A rating),Skilled Worker,
Cubewise Software Ltd,Edgware,,Worker (A rating),Skilled Worker,
Cultura Technologies Limited,Chorley,Lancashire,Worker (A rating),Skilled Worker,
Cultura Technologies Limited,Chorley,Lancashire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Curiosity Software Ireland,Oxford,Oxfordshire,Worker (A rating),Skilled Worker,
Curve Digital Publishing Limited,London,,Worker (A rating),Skilled Worker,
Cusp AI Limited,Cambridge,Cambridgeshire,Worker (A rating),Skilled Worker,
CVK INFOTECH LTD,Watford,,Worker (A rating),Skilled Worker,
CYBAGE SOFTWARE UK LIMITED,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
CYBAGE SOFTWARE UK LIMITED,London,,Worker (A rating),Skilled Worker,
Cyber Alarm Limited,London,,Worker (A rating),Skilled Worker,
Cyber Prism Limited,London,,Worker (A rating),Skilled Worker,
Cyber Range Ltd,London,,Worker (A rating),Skilled Worker,
Cyber Security Hub Ltd,London,,Worker (A rating),Skilled Worker,
CYBER SHEKU LIMITED,LONDON,,Worker (A rating),Skilled Worker,
Cyber Strategies Ltd,Potters Bar,,Worker (A rating),Skilled Worker,
Cyber-Ark Software (UK) Limited,London,,Worker (A rating),Skilled Worker,
Cyber-Ark Software (UK) Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Cyber-Weld,Southam,,Worker (A rating),Skilled Worker,
Cybersys Technologies Ltd,London,,Worker (A rating),Skilled Worker,
Cygnet Infotech Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Cygnet Infotech Limited,London,,Worker (A rating),Skilled Worker,
Cymar Computer Ltd,London,,Worker (A rating),Skilled Worker,
Cytel Statistical Services and Software UK Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Cytel Statistical Services and Software UK Limited,London,,Worker (A rating),Skilled Worker,
CYZ SOFTWARE CONSULTANCY LTD,Bristol,England,Worker (A rating),Skilled Worker,
D2 Legal Technology Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
D2 Legal Technology Ltd,London,,Worker (A rating),Skilled Worker,
D2 Network Associates Limited,Stoke on Trent,,Worker (A rating),Skilled Worker,
D2I DATA MANAGEMENT LIMITED,Wembley,,Worker (A rating),Skilled Worker,
Daella Digital LTD,Aberdeen,Scotland,Worker (A rating),Skilled Worker,
Dahua Technology UK Limited,Maidenhead,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Dahua Technology UK Limited,Maidenhead,,Worker (A rating),Skilled Worker,
Daisymill Technologies Limited,Salford,,Worker (A rating),Skilled Worker,
Danger Farms Software Ltd,London,,Worker (A rating),Skilled Worker,
DANLEO TELECOM SERVICES LIMITED,London,,Worker (A rating),Skilled Worker,
Daphne Technologies Ltd,London,,Worker (A rating),Skilled Worker,
DARK AND CLOUD LTD,LONDON,,Worker (A rating),Skilled Worker,
Dark Horse Digital Ltd,Altrincham,,Worker (A rating),Skilled Worker,
DART INFOTECH LIMITED,Bromley,,Worker (A rating),Skilled Worker,
Darwin Evolution Technologies Ltd,London,,Worker (A rating),Skilled Worker,
Data 1St Ltd,SWINDON,,Worker (A rating),Skilled Worker,
DATA ANALYTICS & VISUALISATION LIMITED,Rickmansworth,Hertfordshire,Worker (A rating),Skilled Worker,
Data and Marketing Association Ltd,London,,Worker (A rating),Skilled Worker,
Data Care Solutions,Hayes,,Worker (A rating),Skilled Worker,
Data Center Erith Limited,Erith,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Data Center Erith Limited,Erith,,Worker (A rating),Skilled Worker,
Data Centre Dynamics Limited,LONDON,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Data Centre Dynamics Limited,LONDON,,Worker (A rating),Skilled Worker,
Data Clarity Limited,Derby,,Worker (A rating),Skilled Worker,
Data Cloud Ltd,London,,Worker (A rating),Skilled Worker,
Data Connect Solutions Ltd,Reading,,Worker (A rating),Skilled Worker,
Data Conversion Systems Limited,Swavesey,Cambridgeshire,Worker (A rating),Skilled Worker,
Data Cubed Limited,Bristol,,Worker (A rating),Skilled Worker,
